id,customer_id,created_at,amount
243,077-6584,4/19/2021,296.81
244,431-3343,2/23/2021,191.9
245,940-7980,6/20/2021,29.57
246,173-8427,3/20/2021,455.07
247,273-2515,1/29/2021,442.43
248,830-6318,1/23/2021,
249,526-7755,1/7/2021,105.59
250,233-7238,4/30/2021,453.12
251,659-3717,5/28/2021,165.21
252,672-4780,1/11/2021,70.82
253,572-7097,3/2/2021,210.0
254,302-1246,4/19/2021,107.83
255,844-0472,1/10/2021,424.98
256,225-4047,2/14/2021,373.01
257,330-6439,2/16/2021,240.9
258,010-6460,6/6/2021,274.93
259,619-1565,4/7/2021,150.5
260,561-2670,6/12/2021,363.11
261,565-6835,5/11/2021,396.73
262,673-9549,6/13/2021,427.24
263,774-0867,6/24/2021,462.57
264,790-2220,1/26/2021,341.45
265,023-3422,3/14/2021,424.65
266,370-1808,2/2/2021,390.5
267,916-7728,1/15/2021,107.4
268,009-4759,6/22/2021,81.04
269,847-3804,3/24/2021,155.78
270,742-4822,2/19/2021,189.37
271,764-0616,2/4/2021,411.83
272,104-3314,2/11/2021,120.69
273,224-0168,2/27/2021,215.39
274,851-4120,5/4/2021,383.81
275,708-6533,3/29/2021,
276,268-5306,5/16/2021,265.75
277,231-2870,1/26/2021,297.62
278,251-4630,6/13/2021,11.25
279,074-3772,4/25/2021,200.57
280,666-3323,5/15/2021,312.16
281,684-7771,6/6/2021,419.12
282,915-3333,4/2/2021,232.08
283,842-0015,2/25/2021,183.63
284,930-7079,3/2/2021,312.98
285,729-2994,3/8/2021,237.31
286,038-9682,6/29/2021,168.09
287,232-9868,2/20/2021,362.15
288,312-9710,3/28/2021,371.73
289,815-0908,2/24/2021,447.29
290,299-8722,4/2/2021,239.74
291,914-3454,2/25/2021,231.25
292,250-2638,5/29/2021,114.62
293,924-5306,5/5/2021,338.13
294,022-5229,4/21/2021,255.91
295,243-0849,4/5/2021,472.63
296,721-4028,3/1/2021,121.54
297,448-6101,2/17/2021,160.17
298,280-3351,6/29/2021,188.96
299,787-8986,2/10/2021,302.15
300,969-6283,6/18/2021,246.56
301,335-8248,5/20/2021,
302,098-7999,2/28/2021,211.03
303,471-9349,2/4/2021,270.62
304,378-5255,1/4/2021,287.36
305,201-6207,6/25/2021,305.59
306,203-8082,5/25/2021,259.08
307,570-6077,1/16/2021,79.24
308,437-5726,5/4/2021,94.14
309,815-3396,5/11/2021,
310,405-0590,4/3/2021,452.99
311,518-3881,3/3/2021,177.65
312,788-5865,1/10/2021,469.59
313,191-5021,6/14/2021,207.7
314,131-6289,6/13/2021,149.71
315,210-5257,3/3/2021,210.86
316,610-5079,4/4/2021,149.47
317,614-2940,5/5/2021,449.56
318,312-0352,4/15/2021,243.77
319,679-9435,5/11/2021,319.39
320,818-4062,2/21/2021,83.39
321,380-5162,4/14/2021,29.93
322,519-0338,5/16/2021,323.6
323,266-8859,6/1/2021,286.95
324,867-9214,5/6/2021,63.72
325,506-9995,3/28/2021,275.63
326,681-2255,2/8/2021,423.81
327,651-3070,6/29/2021,
328,885-8412,5/14/2021,191.3
329,411-5314,4/1/2021,437.53
330,978-8168,5/22/2021,139.97
331,757-5456,3/6/2021,104.41
332,796-8175,1/1/2021,424.5
333,283-9444,4/26/2021,446.32
334,670-0557,4/15/2021,53.34
335,459-2177,5/20/2021,395.86
336,562-7294,6/16/2021,449.7
337,361-6812,5/5/2021,251.81
338,737-1376,1/1/2021,215.96
339,764-3177,2/15/2021,81.72
340,538-0974,5/3/2021,158.26
341,422-3607,3/3/2021,304.03
342,807-3240,3/3/2021,406.47
343,695-1786,2/13/2021,240.64
344,159-8272,6/11/2021,354.74
345,620-5737,5/10/2021,
346,220-3801,3/30/2021,378.35
347,794-9033,5/25/2021,247.95
348,061-6311,3/31/2021,258.18
349,193-4509,5/17/2021,226.24
350,821-3470,4/23/2021,201.78
351,720-3890,2/18/2021,433.63
352,569-5584,5/17/2021,121.71
353,227-5223,2/26/2021,42.34
354,268-7273,1/8/2021,245.88
355,469-4625,4/21/2021,45.16
356,722-2528,3/13/2021,245.37
357,192-2043,5/20/2021,426.51
358,876-0305,5/12/2021,
359,584-1804,5/31/2021,438.03
360,388-0100,2/17/2021,275.9
361,290-9207,2/26/2021,486.19
362,662-6346,2/10/2021,486.86
363,975-4323,5/7/2021,451.41
364,192-0905,4/7/2021,60.59
365,491-5266,1/23/2021,360.71
366,027-2068,4/26/2021,167.09
367,112-8023,5/18/2021,18.79
368,198-7212,4/6/2021,294.97
369,821-5652,3/17/2021,41.35
370,250-0510,6/24/2021,30.04
371,210-8426,2/1/2021,377.8
372,190-2229,1/5/2021,21.59
373,470-1422,2/4/2021,18.39
374,331-9665,4/12/2021,370.77
375,111-0830,5/29/2021,16.01
376,270-5205,5/13/2021,488.71
377,700-2269,1/26/2021,400.94
378,001-8442,5/20/2021,325.44
379,737-1086,4/16/2021,262.44
380,004-0919,2/5/2021,235.98
381,949-0253,3/23/2021,231.37
382,432-0561,4/6/2021,101.56
383,665-8946,3/26/2021,469.87
384,327-1327,6/12/2021,365.08
385,649-8788,6/20/2021,120.3
386,562-3337,3/12/2021,105.89
387,404-1250,3/28/2021,309.48
388,489-2262,2/16/2021,249.43
389,810-2322,6/3/2021,
390,184-0202,1/11/2021,170.32
391,602-3901,2/21/2021,419.97
392,220-5412,6/2/2021,423.82
393,035-8972,1/5/2021,
394,067-7589,5/3/2021,87.62
395,544-7132,2/1/2021,252.06
396,220-9135,1/27/2021,216.27
397,271-8260,5/10/2021,497.67
398,447-9330,3/29/2021,108.02
399,517-1383,1/10/2021,403.56
400,991-7464,2/12/2021,425.71
401,636-3541,6/4/2021,31.76
402,482-2962,3/31/2021,250.71
403,850-1721,5/5/2021,413.19
404,052-2691,5/20/2021,216.47
405,811-8089,3/13/2021,481.28
406,218-9666,6/27/2021,398.71
407,260-8712,1/31/2021,263.5
408,978-3816,3/12/2021,25.58
409,638-0508,3/8/2021,228.32
410,376-0103,6/21/2021,250.64
411,474-6054,4/21/2021,352.65
412,262-2543,4/8/2021,209.26
413,527-8430,5/30/2021,236.99
414,524-8358,3/23/2021,133.4
415,939-0773,3/10/2021,316.25
416,967-3278,3/18/2021,96.92
417,869-7406,3/17/2021,299.73
418,479-4890,6/20/2021,102.62
419,129-8690,2/11/2021,36.12
420,804-0143,1/22/2021,217.46
421,719-1921,5/17/2021,364.39
422,930-1310,3/5/2021,18.22
423,875-3510,3/8/2021,92.33
424,924-4859,2/11/2021,441.22
425,151-8187,6/19/2021,403.11
426,797-0862,5/15/2021,274.04
427,471-1150,4/18/2021,400.74
428,214-6495,3/31/2021,108.22
429,345-5334,2/8/2021,433.8
430,680-2871,2/28/2021,344.41
431,490-6838,1/31/2021,41.21
432,150-3621,5/25/2021,395.82
433,140-5575,5/13/2021,398.1
434,082-4486,3/30/2021,235.17
435,850-1466,1/19/2021,488.59
436,458-0490,4/21/2021,164.91
437,749-5316,5/31/2021,455.24
438,421-4372,3/10/2021,71.7
439,494-4047,1/16/2021,278.48
440,762-1292,1/1/2021,314.64
441,528-2005,4/6/2021,151.1
442,176-9748,3/23/2021,264.02
443,563-3319,4/30/2021,275.93
444,896-3327,4/10/2021,20.1
445,280-5107,3/29/2021,435.02
446,962-8651,6/6/2021,234.1
447,284-9203,2/28/2021,405.22
448,506-2679,2/18/2021,345.64
449,824-1749,6/26/2021,63.62
450,769-7707,6/4/2021,158.08
451,629-1950,1/19/2021,328.85
452,437-1081,6/2/2021,310.14
453,628-4765,2/25/2021,277.67
454,053-7537,4/29/2021,
455,536-0051,2/26/2021,
456,434-4751,1/30/2021,383.63
457,449-2311,6/17/2021,97.52
458,213-2714,3/22/2021,266.15
459,057-6922,4/8/2021,398.86
460,558-9604,6/2/2021,269.74
461,201-5655,4/12/2021,
462,154-7615,5/17/2021,461.45
463,979-1376,2/8/2021,143.26
464,528-7557,4/6/2021,273.77
465,198-0936,5/15/2021,371.08
466,490-9682,5/15/2021,284.89
467,310-1142,5/14/2021,188.36
468,604-1882,4/4/2021,321.65
469,867-6266,2/4/2021,184.49
470,165-9176,2/24/2021,302.22
471,844-8411,3/24/2021,109.87
472,958-7484,5/13/2021,39.74
473,396-1792,2/6/2021,116.11
474,830-0210,1/29/2021,228.96
475,130-3028,3/24/2021,492.61
476,007-8297,6/7/2021,427.48
477,889-1604,4/17/2021,423.38
478,591-2191,5/25/2021,55.88
479,745-9285,1/13/2021,271.06
480,922-9410,2/17/2021,425.23
481,017-3680,3/9/2021,392.02
482,152-2114,3/10/2021,57.86
483,427-4929,5/18/2021,407.12
484,339-6684,4/22/2021,125.5
485,516-3439,4/27/2021,90.56
486,645-6506,2/9/2021,227.8
487,296-6621,6/25/2021,169.87
488,245-5225,5/21/2021,316.06
489,880-9154,4/15/2021,321.98
490,008-4981,3/22/2021,177.75
491,125-6795,1/14/2021,81.44
492,573-6803,1/31/2021,208.58
493,361-4801,1/14/2021,437.26
494,746-1006,1/8/2021,476.67
495,956-3120,3/28/2021,264.25
496,586-1739,3/5/2021,274.21
497,627-0850,5/2/2021,304.32
498,104-4476,5/22/2021,324.34
499,726-7494,3/23/2021,29.23
500,021-7442,6/25/2021,18.23
501,563-2749,5/13/2021,304.25
502,445-5213,5/1/2021,384.43
503,776-8770,6/4/2021,393.84
504,896-3521,2/17/2021,470.76
505,316-0426,4/20/2021,194.85
506,012-5835,3/17/2021,39.53
507,133-4270,2/1/2021,
508,269-7676,5/19/2021,27.29
509,658-3451,3/3/2021,394.59
510,144-4124,6/22/2021,425.01
511,148-1972,4/28/2021,234.12
512,259-1659,4/5/2021,212.29
513,299-3771,5/17/2021,294.83
514,981-6203,1/25/2021,120.46
515,889-0041,6/4/2021,357.87
516,263-9872,5/2/2021,392.72
517,181-1988,3/30/2021,91.86
518,436-8140,4/8/2021,201.32
519,080-1178,4/2/2021,203.31
520,635-8765,4/4/2021,245.24
521,382-4825,2/7/2021,472.72
522,039-6124,6/13/2021,40.06
523,123-5266,6/10/2021,277.21
524,036-4851,3/25/2021,222.07
525,818-3424,1/17/2021,
526,612-4952,1/4/2021,409.42
527,104-5452,3/11/2021,356.59
528,831-5721,1/11/2021,117.7
529,135-0174,6/14/2021,28.17
530,491-6887,6/10/2021,366.55
531,408-5299,4/6/2021,279.6
532,687-5747,5/13/2021,436.7
533,702-8684,6/20/2021,155.59
534,704-1099,3/13/2021,100.55
535,738-0878,5/22/2021,193.73
536,508-5559,2/3/2021,169.35
537,619-5705,4/11/2021,30.02
538,130-6812,5/22/2021,413.71
539,399-6817,6/28/2021,221.33
540,632-0034,6/20/2021,433.48
541,458-6752,1/11/2021,122.89
542,127-2511,3/3/2021,444.38
543,188-3631,6/4/2021,378.73
544,632-5881,6/19/2021,376.35
545,190-6817,6/29/2021,417.02
546,102-7013,1/23/2021,
547,817-0579,1/29/2021,395.87
548,500-9015,6/3/2021,174.22
549,201-3678,3/8/2021,20.57
550,234-9438,5/11/2021,96.07
551,490-0810,4/27/2021,489.66
552,576-5604,2/10/2021,
553,605-8808,2/20/2021,165.35
554,749-9532,5/13/2021,297.54
555,159-7380,5/19/2021,108.45
556,820-3469,4/7/2021,130.33
557,756-4741,6/11/2021,38.34
558,484-5084,5/7/2021,496.56
559,942-8570,3/26/2021,120.75
560,659-5249,5/18/2021,317.96
561,978-7293,5/17/2021,191.16
562,653-1307,6/10/2021,452.74
563,072-5993,3/6/2021,197.37
564,081-9918,1/27/2021,124.31
565,013-5626,3/10/2021,451.33
566,662-7486,3/4/2021,275.83
567,948-0719,3/12/2021,212.65
568,172-6825,2/19/2021,78.7
569,042-1663,4/7/2021,96.39
570,552-5027,4/19/2021,445.4
571,081-7997,4/20/2021,181.32
572,505-4654,3/14/2021,202.67
573,771-6173,2/25/2021,89.48
574,871-6590,3/13/2021,384.71
575,912-6238,2/8/2021,196.13
576,703-1109,2/14/2021,381.24
577,109-0802,2/18/2021,18.78
578,969-1408,1/13/2021,97.3
579,839-0766,3/18/2021,84.79
580,960-5377,4/18/2021,341.9
581,976-3952,3/1/2021,26.2
582,223-9068,3/10/2021,473.61
583,850-7130,5/9/2021,195.41
584,602-6713,1/16/2021,36.66
585,902-9104,5/16/2021,
586,700-3949,5/23/2021,400.14
587,407-8740,5/19/2021,74.0
588,218-6173,2/4/2021,40.58
589,810-1465,6/3/2021,241.91
590,894-7972,6/25/2021,445.91
591,906-8741,2/19/2021,453.28
592,687-4497,6/16/2021,386.18
593,838-1642,3/16/2021,288.32
594,120-9556,4/20/2021,479.75
595,075-6595,5/31/2021,35.04
596,287-3710,2/11/2021,371.72
597,381-8141,4/29/2021,389.06
598,664-4133,2/24/2021,
599,906-1109,5/11/2021,334.76
600,886-6953,1/8/2021,166.24
601,854-0502,1/17/2021,372.41
602,507-1771,3/9/2021,253.69
603,168-7322,1/8/2021,402.63
604,557-9073,5/26/2021,344.35
605,672-2010,3/14/2021,225.06
606,956-4659,4/18/2021,223.23
607,014-9354,5/4/2021,374.43
608,880-3430,5/26/2021,16.41
609,142-4218,5/1/2021,302.09
610,328-4165,3/14/2021,283.49
611,877-5397,3/27/2021,499.03
612,822-4209,6/16/2021,98.23
613,492-5905,2/13/2021,418.95
614,524-1647,3/28/2021,100.91
615,711-0843,3/6/2021,484.36
616,619-5148,6/10/2021,259.14
617,292-1858,5/15/2021,105.8
618,165-6626,2/10/2021,12.65
619,844-8687,6/22/2021,365.7
620,697-8453,4/6/2021,121.87
621,234-3554,3/8/2021,477.95
622,144-1592,3/10/2021,312.03
623,116-6994,3/29/2021,231.38
624,245-4855,5/27/2021,98.28
625,825-1966,5/7/2021,368.56
626,865-7035,5/15/2021,388.19
627,355-8259,1/21/2021,427.28
628,660-2910,3/20/2021,207.33
629,715-0210,1/20/2021,93.73
630,899-4521,3/3/2021,406.94
631,226-7954,4/29/2021,310.21
632,880-4221,3/20/2021,416.98
633,565-0740,2/12/2021,245.33
634,902-5322,1/2/2021,88.89
635,467-8786,3/22/2021,
636,246-3409,1/20/2021,315.62
637,141-5158,5/11/2021,23.54
638,436-3641,5/3/2021,
639,870-2706,3/22/2021,329.0
640,364-2812,6/1/2021,303.92
641,982-3582,6/29/2021,81.67
642,589-3431,3/22/2021,154.43
643,440-7852,6/10/2021,95.58
644,743-9423,5/25/2021,175.06
645,398-0759,1/21/2021,451.66
646,192-0706,4/23/2021,50.82
647,666-3383,1/26/2021,198.34
648,155-9769,6/22/2021,446.9
649,255-5020,4/29/2021,46.39
650,180-0264,1/14/2021,185.23
651,248-3579,6/8/2021,251.59
652,343-1231,1/7/2021,153.43
653,566-0739,1/23/2021,441.64
654,423-1709,3/6/2021,313.05
655,248-6603,6/23/2021,63.92
656,691-4486,3/3/2021,130.12
657,549-3943,6/26/2021,394.35
658,545-8509,6/24/2021,276.98
659,508-8726,6/8/2021,139.46
660,600-2530,6/14/2021,475.47
661,178-8334,3/2/2021,305.86
662,415-5491,4/4/2021,196.25
663,557-7350,3/28/2021,309.79
664,679-4783,4/15/2021,104.26
665,295-7521,4/22/2021,385.05
666,076-1709,2/24/2021,262.49
667,963-4763,1/27/2021,101.62
668,655-2282,4/2/2021,407.78
669,875-8357,3/31/2021,485.75
670,841-7095,4/28/2021,481.97
671,705-9773,4/2/2021,66.66
672,414-0029,6/2/2021,
673,007-4032,1/31/2021,17.68
674,970-9934,3/18/2021,296.05
675,214-5071,3/12/2021,36.24
676,600-9928,3/18/2021,332.68
677,896-9034,1/19/2021,35.97
678,651-0402,2/6/2021,83.96
679,505-0671,4/15/2021,161.42
680,746-3714,6/5/2021,31.24
681,587-0847,6/9/2021,30.35
682,516-1608,4/23/2021,184.51
683,295-0969,4/19/2021,185.44
684,205-8166,6/22/2021,403.86
685,500-5361,1/24/2021,431.5
686,459-8350,6/12/2021,296.94
687,003-4971,4/11/2021,367.83
688,997-9854,4/9/2021,377.35
689,032-0645,2/8/2021,105.59
690,157-5388,6/27/2021,129.49
691,709-6295,4/20/2021,49.93
692,553-4851,4/22/2021,164.66
693,227-1972,2/18/2021,151.53
694,220-0584,1/14/2021,208.56
695,512-8744,1/26/2021,361.86
696,506-1198,3/31/2021,430.1
697,884-6110,3/12/2021,124.2
698,286-7944,6/23/2021,67.94
699,244-1901,2/7/2021,142.27
700,225-1275,6/19/2021,422.31
701,711-7955,1/30/2021,52.91
702,308-4784,5/6/2021,379.47
703,485-9321,1/20/2021,260.75
704,753-6255,4/13/2021,491.69
705,445-6228,3/18/2021,69.02
706,535-2606,1/1/2021,
707,895-5931,3/21/2021,391.86
708,855-1786,1/13/2021,261.27
709,622-1100,5/9/2021,313.49
710,046-9896,4/9/2021,
711,473-5620,2/11/2021,
712,196-3841,4/4/2021,121.74
713,483-8640,4/3/2021,63.93
714,972-3649,4/26/2021,178.99
715,774-8752,5/21/2021,294.82
716,060-9864,1/18/2021,448.86
717,928-8343,1/16/2021,403.49
718,009-9551,1/7/2021,
719,720-4206,6/15/2021,63.61
720,993-2953,1/26/2021,358.33
721,108-2812,3/22/2021,206.01
722,465-8295,2/21/2021,446.59
723,664-6420,5/30/2021,333.71
724,681-8327,3/25/2021,72.34
725,332-4731,4/18/2021,481.79
726,298-7592,5/31/2021,385.87
727,890-8102,1/29/2021,302.82
728,288-7725,1/12/2021,155.59
729,545-2657,4/18/2021,
730,134-1962,4/15/2021,236.87
731,566-5384,6/25/2021,111.83
732,625-3639,2/28/2021,423.95
733,430-6755,4/26/2021,197.68
734,102-3048,5/5/2021,179.15
735,684-4603,5/8/2021,325.16
736,150-9445,2/23/2021,392.05
737,788-4417,3/15/2021,421.73
738,547-0219,3/31/2021,429.14
739,440-2437,5/20/2021,
740,363-8455,3/13/2021,163.8
741,518-8589,1/3/2021,222.61
742,302-6324,2/4/2021,291.87
743,068-9056,5/8/2021,107.1
744,035-4651,1/11/2021,43.42
745,315-8615,3/3/2021,229.39
746,766-7406,6/14/2021,19.15
747,658-1093,3/17/2021,300.16
748,802-0953,4/29/2021,349.33
749,109-0741,2/8/2021,342.89
750,241-8619,3/4/2021,73.2
751,947-3861,2/28/2021,316.59
752,636-5000,5/21/2021,116.77
753,924-3371,6/21/2021,60.24
754,948-0358,5/29/2021,148.46
755,776-3418,2/7/2021,
756,784-3638,5/7/2021,173.17
757,788-0473,4/12/2021,384.65
758,061-4166,2/22/2021,460.96
759,752-3228,2/15/2021,33.41
760,992-6135,3/20/2021,407.15
761,985-9100,3/31/2021,176.67
762,957-0920,2/18/2021,399.04
763,342-9667,6/6/2021,357.92
764,608-5016,6/20/2021,
765,632-4453,6/7/2021,225.86
766,912-1539,2/2/2021,39.58
767,223-1342,4/3/2021,455.81
768,322-7711,2/10/2021,54.9
769,813-4790,3/23/2021,274.29
770,945-2242,6/14/2021,279.71
771,706-0948,4/12/2021,57.68
772,489-8304,5/25/2021,98.5
773,815-6415,2/17/2021,295.46
774,796-3157,4/5/2021,375.64
775,348-7303,6/5/2021,166.28
776,150-9339,1/1/2021,110.69
777,581-8770,6/11/2021,309.36
778,915-3633,1/13/2021,36.85
779,818-3188,5/17/2021,290.46
780,705-8176,5/9/2021,354.55
781,732-0780,5/25/2021,144.87
782,509-7636,4/22/2021,453.35
783,843-9461,2/21/2021,214.92
